Target,Num Features,Balancing Method,Model,F1_macro,Selected Features
BUREAU,5,RandomOverSampler,Logistic Regression,0.27464905165947295,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,RandomOverSampler,Decision Tree,0.4288382519132174,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,RandomOverSampler,Random Forest,0.4318131689514944,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,RandomOverSampler,XGBoost,0.4211221901775132,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,RandomOverSampler,KNN,0.38136492335160754,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,RandomOverSampler,SVM,0.2718108292896464,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,Logistic Regression,0.27627952781813975,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,Decision Tree,0.42831246016321034,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,Random Forest,0.43200222991935106,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,XGBoost,0.4289042307062706,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,KNN,0.38054816713102185,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,SMOTE,SVM,0.2720807663008783,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,Logistic Regression,0.27555869008414974,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,Decision Tree,0.41771506139278297,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,Random Forest,0.42036912255147285,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,XGBoost,0.420197864246333,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,KNN,0.24011163678217073,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,5,UnderSampling,SVM,0.2717277953208711,"Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,Logistic Regression,0.27742266923250414,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,Decision Tree,0.44212465711908305,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,Random Forest,0.4556878474399064,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,XGBoost,0.4359408305750064,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,KNN,0.3981811285248639,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,RandomOverSampler,SVM,0.27097118174430546,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,Logistic Regression,0.27734962336780733,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,Decision Tree,0.43852378385038565,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,Random Forest,0.4512804181735599,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,XGBoost,0.4368417815452291,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,KNN,0.39935200739457066,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,SMOTE,SVM,0.27143847132244037,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,Logistic Regression,0.2774263306148696,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,Decision Tree,0.4233874256069468,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,Random Forest,0.43369374273000094,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,XGBoost,0.4343880413743559,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,KNN,0.33265985886684646,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,6,UnderSampling,SVM,0.2709906201725558,"Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,Logistic Regression,0.27819632845082076,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,Decision Tree,0.4463430655309386,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,Random Forest,0.47510514451675984,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,XGBoost,0.436366890665398,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,KNN,0.39874330050308987,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,RandomOverSampler,SVM,0.27145000016261,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Logistic Regression,0.28005167634853967,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Decision Tree,0.4325125938943321,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,Random Forest,0.45742504312310706,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,XGBoost,0.4491173357307011,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,KNN,0.3894245340309627,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,SMOTE,SVM,0.2731435717006441,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Logistic Regression,0.2779297236912579,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Decision Tree,0.4179668080801398,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,Random Forest,0.4360831635529279,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,XGBoost,0.43439227610250947,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,KNN,0.3645534632869235,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,7,UnderSampling,SVM,0.2712975190373347,"DATE OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Logistic Regression,0.27846062038699726,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Decision Tree,0.4485638156819542,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,Random Forest,0.4930814275353271,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,XGBoost,0.43750042750651685,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,KNN,0.39553679975064887,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,RandomOverSampler,SVM,0.27167039816980043,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Logistic Regression,0.28140407043559984,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Decision Tree,0.4304026828851247,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,Random Forest,0.4641734522784338,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,XGBoost,0.44480547174355667,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,KNN,0.38138709293717776,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,SMOTE,SVM,0.2737577595997791,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Logistic Regression,0.2782543968695476,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Decision Tree,0.4174696246429549,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,Random Forest,0.4413082002076235,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,XGBoost,0.43498109771625276,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,KNN,0.3530684126236708,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
BUREAU,9,UnderSampling,SVM,0.27157861419566864,"Date Rptd,DATE OCC,TIME OCC,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used"
